Date,Region,Baseline Movement Deviation,Proportion of Static Users
2020-03-01,Abu Ghraib,-0.13667,0.24649
2020-03-02,Abu Ghraib,-0.07561,0.22038
2020-03-03,Abu Ghraib,-0.10471,0.21413
2020-03-04,Abu Ghraib,-0.01248,0.21114
2020-03-05,Abu Ghraib,-0.10723,0.22531
2020-03-06,Abu Ghraib,-0.09936,0.22727
2020-03-07,Abu Ghraib,0.02445,0.18572
2020-03-08,Abu Ghraib,-0.0343,0.20382
2020-03-09,Abu Ghraib,-0.10085,0.22694
2020-03-10,Abu Ghraib,-0.10225,0.21639
2020-03-11,Abu Ghraib,0.04615,0.20881
2020-03-12,Abu Ghraib,-0.06683,0.19305
2020-03-13,Abu Ghraib,-0.10354,0.2396
2020-03-14,Abu Ghraib,-0.16285,0.2327
2020-03-15,Abu Ghraib,-0.15958,0.23211
2020-03-16,Abu Ghraib,-0.15105,0.21871
2020-03-17,Abu Ghraib,-0.28636,0.23957
2020-03-18,Abu Ghraib,-0.4073,0.25955
2020-03-19,Abu Ghraib,-0.41619,0.27055
2020-03-20,Abu Ghraib,-0.33019,0.30055
2020-03-21,Abu Ghraib,-0.41994,0.31182
2020-03-22,Abu Ghraib,-0.45168,0.30603
2020-03-23,Abu Ghraib,-0.45632,0.29935
2020-03-24,Abu Ghraib,-0.50555,0.30222
2020-03-25,Abu Ghraib,-0.48903,0.31137
2020-03-26,Abu Ghraib,-0.44078,0.29388
2020-03-27,Abu Ghraib,-0.38026,0.3225
2020-03-28,Abu Ghraib,-0.44176,0.30022
2020-03-29,Abu Ghraib,-0.4414,0.29657
2020-03-30,Abu Ghraib,-0.44188,0.2802
2020-03-31,Abu Ghraib,-0.49054,0.27687
2020-04-01,Abu Ghraib,-0.40386,0.27032
2020-04-02,Abu Ghraib,-0.39943,0.27232
2020-04-03,Abu Ghraib,-0.27082,0.27634
2020-04-04,Abu Ghraib,-0.37966,0.29713
2020-04-05,Abu Ghraib,-0.31675,0.239
2020-04-06,Abu Ghraib,-0.40229,0.28513
2020-04-07,Abu Ghraib,-0.40984,0.27182
2020-04-08,Abu Ghraib,-0.40525,0.25132
2020-04-09,Abu Ghraib,-0.41649,0.28488
2020-04-10,Abu Ghraib,-0.37179,0.29161
2020-04-11,Abu Ghraib,-0.43995,0.29277
2020-04-12,Abu Ghraib,-0.41436,0.2744
2020-04-13,Abu Ghraib,-0.44695,0.27676
2020-04-14,Abu Ghraib,-0.44868,0.27901
2020-04-15,Abu Ghraib,-0.36493,0.26875
2020-04-16,Abu Ghraib,-0.36696,0.25
2020-04-17,Abu Ghraib,-0.28161,0.2407
2020-04-18,Abu Ghraib,-0.27589,0.23721
2020-04-19,Abu Ghraib,-0.26841,0.23719
2020-04-20,Abu Ghraib,-0.30516,0.24879
2020-04-21,Abu Ghraib,-0.15858,0.21162
2020-04-22,Abu Ghraib,-0.1229,0.18212
2020-04-23,Abu Ghraib,-0.14257,0.20686
2020-04-24,Abu Ghraib,-0.45013,0.32518
2020-04-25,Abu Ghraib,-0.44476,0.30244
2020-04-26,Abu Ghraib,-0.15084,0.23847
2020-04-27,Abu Ghraib,-0.16166,0.25562
2020-04-28,Abu Ghraib,-0.24815,0.27403
2020-04-29,Abu Ghraib,-0.12856,0.25239
2020-04-30,Abu Ghraib,-0.16277,0.23794
2020-05-01,Abu Ghraib,-0.40409,0.32384
2020-05-02,Abu Ghraib,-0.42156,0.31339
2020-05-03,Abu Ghraib,-0.12826,0.22552
2020-05-04,Abu Ghraib,-0.22991,0.23316
2020-05-05,Abu Ghraib,-0.18809,0.22216
2020-05-06,Abu Ghraib,-0.15162,0.21259
2020-05-07,Abu Ghraib,-0.11109,0.25655
2020-05-08,Abu Ghraib,-0.36876,0.31557
2020-05-09,Abu Ghraib,-0.37773,0.2978
2020-05-10,Abu Ghraib,-0.04049,0.22778
2020-05-11,Abu Ghraib,-0.03937,0.24125
2020-05-12,Abu Ghraib,-0.0862,0.24914
2020-05-13,Abu Ghraib,0.02856,0.21739
2020-05-14,Abu Ghraib,0.0279,0.20592
2020-05-15,Abu Ghraib,-0.23971,0.26843
2020-05-16,Abu Ghraib,-0.28644,0.26898
2020-05-17,Abu Ghraib,0.04373,0.19089
2020-05-18,Abu Ghraib,0.0438,0.2055
2020-05-19,Abu Ghraib,0.0005,0.20848
2020-05-20,Abu Ghraib,0.04467,0.23563
2020-05-21,Abu Ghraib,0.00345,0.2391
2020-05-22,Abu Ghraib,-0.25321,0.28764
2020-05-23,Abu Ghraib,-0.38716,0.27857
2020-05-24,Abu Ghraib,-0.38897,0.26122
2020-05-25,Abu Ghraib,-0.34099,0.26126
2020-05-26,Abu Ghraib,-0.32221,0.25143
2020-05-27,Abu Ghraib,-0.32063,0.26598
2020-05-28,Abu Ghraib,-0.34814,0.27376
2020-05-29,Abu Ghraib,-0.13549,0.28897
2020-05-30,Abu Ghraib,-0.25944,0.24684
2020-05-31,Abu Ghraib,-0.24058,0.24032
2020-06-01,Abu Ghraib,-0.24454,0.25058
2020-06-02,Abu Ghraib,-0.30237,0.25071
2020-06-03,Abu Ghraib,-0.19882,0.24749
2020-06-04,Abu Ghraib,-0.20719,0.2537
2020-06-05,Abu Ghraib,-0.19957,0.29171
2020-06-06,Abu Ghraib,-0.25555,0.26267
2020-06-07,Abu Ghraib,-0.20668,0.23929
2020-06-08,Abu Ghraib,-0.25817,0.25029
2020-06-09,Abu Ghraib,-0.28337,0.2393
2020-06-10,Abu Ghraib,-0.26287,0.25343
2020-06-11,Abu Ghraib,-0.30064,0.27564
2020-06-12,Abu Ghraib,-0.23102,0.27541
2020-06-13,Abu Ghraib,-0.21619,0.25702
2020-06-14,Abu Ghraib,0.03355,0.21137
2020-06-15,Abu Ghraib,0.0273,0.19689
2020-06-16,Abu Ghraib,-0.02695,0.19791
2020-06-17,Abu Ghraib,0.10036,0.21044
2020-06-18,Abu Ghraib,-0.30913,0.28101
2020-06-19,Abu Ghraib,-0.28689,0.287
2020-06-20,Abu Ghraib,-0.32522,0.27879
2020-06-21,Abu Ghraib,0.04426,0.20288
2020-06-22,Abu Ghraib,-0.05872,0.21851
2020-06-23,Abu Ghraib,-0.14662,0.25338
2020-06-24,Abu Ghraib,-0.02074,0.22899
2020-06-25,Abu Ghraib,-0.35187,0.26153
2020-06-26,Abu Ghraib,-0.27383,0.295
2020-06-27,Abu Ghraib,-0.27791,0.28815
2020-06-28,Abu Ghraib,-0.00754,0.20055
2020-06-29,Abu Ghraib,-0.15998,0.22924
2020-06-30,Abu Ghraib,-0.13947,0.23551
2020-07-01,Abu Ghraib,-0.0169,0.23029
2020-07-02,Abu Ghraib,-0.28489,0.3278
2020-07-03,Abu Ghraib,-0.29,0.29755
2020-07-04,Abu Ghraib,-0.37357,0.30662
2020-07-05,Abu Ghraib,0.03608,0.24502
2020-07-06,Abu Ghraib,-0.06566,0.22213
2020-07-07,Abu Ghraib,-0.09465,0.23691
2020-07-08,Abu Ghraib,0.07479,0.22694
2020-07-09,Abu Ghraib,-0.29908,0.30618
2020-07-10,Abu Ghraib,-0.30212,0.30128
2020-07-11,Abu Ghraib,-0.24617,0.32364
2020-07-12,Abu Ghraib,-0.03085,0.24815
2020-07-13,Abu Ghraib,-0.08764,0.25948
2020-07-14,Abu Ghraib,-0.22547,0.26443
2020-07-15,Abu Ghraib,0.03696,0.23981
2020-07-16,Abu Ghraib,-0.35904,0.26042
2020-07-17,Abu Ghraib,-0.22576,0.28098
2020-07-18,Abu Ghraib,-0.23464,0.2697
2020-07-19,Abu Ghraib,0.11334,0.22234
2020-07-20,Abu Ghraib,0.03778,0.2146
2020-07-21,Abu Ghraib,-0.02456,0.22756
2020-07-22,Abu Ghraib,0.01037,0.22847
2020-07-23,Abu Ghraib,-0.23728,0.27304
2020-07-24,Abu Ghraib,-0.2933,0.28194
2020-07-25,Abu Ghraib,-0.25639,0.26497
2020-07-26,Abu Ghraib,0.03464,0.22064
2020-07-27,Abu Ghraib,-0.06621,0.23412
2020-07-28,Abu Ghraib,0.0161,0.25675
2020-07-29,Abu Ghraib,0.12734,0.2351
2020-07-30,Abu Ghraib,-0.16212,0.26171
2020-07-31,Abu Ghraib,-0.1929,0.27911
2020-08-01,Abu Ghraib,-0.3171,0.26586
2020-08-02,Abu Ghraib,-0.25952,0.27418
2020-08-03,Abu Ghraib,-0.28871,0.27115
2020-08-04,Abu Ghraib,-0.32554,0.27328
2020-08-05,Abu Ghraib,-0.24437,0.2797
2020-08-06,Abu Ghraib,-0.22728,0.27429
2020-08-07,Abu Ghraib,-0.21071,0.3106
2020-08-08,Abu Ghraib,-0.27088,0.26019
2020-08-09,Abu Ghraib,-0.00721,0.25428
2020-08-10,Abu Ghraib,-0.01132,0.21752
2020-08-11,Abu Ghraib,0.02568,0.20904
2020-08-12,Abu Ghraib,0.05679,0.23383
2020-08-13,Abu Ghraib,-0.16775,0.27552
2020-08-14,Abu Ghraib,-0.1985,0.25479
2020-08-15,Abu Ghraib,-0.22647,0.27294
2020-08-16,Abu Ghraib,0.14318,0.21762
2020-08-17,Abu Ghraib,0.04417,0.23124
2020-08-18,Abu Ghraib,0.0776,0.22721
2020-08-19,Abu Ghraib,0.12232,0.19486
2020-08-20,Abu Ghraib,-0.0698,0.23667
2020-08-21,Abu Ghraib,-0.12329,0.2823
2020-08-22,Abu Ghraib,-0.04297,0.23496
2020-08-23,Abu Ghraib,0.06626,0.22787
2020-08-24,Abu Ghraib,0.09017,0.21713
2020-08-25,Abu Ghraib,0.02951,0.24043
2020-08-26,Abu Ghraib,0.16717,0.21909
2020-08-27,Abu Ghraib,0.20869,0.19718
2020-08-28,Abu Ghraib,-0.0552,0.25449
2020-08-29,Abu Ghraib,-0.00886,0.2039
2020-08-30,Abu Ghraib,-0.13963,0.23459
2020-08-31,Abu Ghraib,0.06367,0.21495
2020-09-01,Abu Ghraib,0.02714,0.20723
2020-09-02,Abu Ghraib,0.18017,0.19999
2020-09-03,Abu Ghraib,0.08947,0.21215
2020-09-04,Abu Ghraib,-0.06576,0.25339
2020-09-05,Abu Ghraib,-0.01724,0.24982
2020-09-06,Abu Ghraib,0.12035,0.23295
2020-09-07,Abu Ghraib,0.03185,0.23472
2020-09-08,Abu Ghraib,0.01886,0.21454
2020-09-09,Abu Ghraib,0.06651,0.25069
2020-09-10,Abu Ghraib,0.03458,0.26127
2020-09-11,Abu Ghraib,-0.10958,0.27886
2020-09-12,Abu Ghraib,-0.10875,0.21836
2020-09-13,Abu Ghraib,0.05754,0.21853
2020-09-14,Abu Ghraib,-0.02308,0.22073
2020-09-15,Abu Ghraib,0.15891,0.21447
2020-09-16,Abu Ghraib,0.05165,0.21629
2020-09-17,Abu Ghraib,-0.01928,0.21076
2020-09-18,Abu Ghraib,-0.11881,0.23457
2020-09-19,Abu Ghraib,-0.01462,0.21961
2020-09-20,Abu Ghraib,0.0119,0.19105
2020-09-21,Abu Ghraib,0.06779,0.20436
2020-09-22,Abu Ghraib,-0.08034,0.22511
2020-09-23,Abu Ghraib,-0.01412,0.21182
2020-09-24,Abu Ghraib,0.05753,0.23655
2020-09-25,Abu Ghraib,-0.23261,0.25433
2020-09-26,Abu Ghraib,-0.00283,0.24124
2020-09-27,Abu Ghraib,0.05276,0.20502
2020-09-28,Abu Ghraib,-0.0178,0.19356
2020-09-29,Abu Ghraib,-0.04193,0.21528
2020-09-30,Abu Ghraib,0.13234,0.20728
2020-10-01,Abu Ghraib,0.12325,0.23841
2020-10-02,Abu Ghraib,-0.00451,0.2499
2020-10-03,Abu Ghraib,-0.12026,0.26357
2020-10-04,Abu Ghraib,-0.0115,0.24078
2020-10-05,Abu Ghraib,-0.04664,0.22935
2020-10-06,Abu Ghraib,-0.09294,0.23094
2020-10-07,Abu Ghraib,0.04666,0.22251
2020-10-08,Abu Ghraib,-0.13058,0.23962
2020-10-09,Abu Ghraib,0.04328,0.24252
2020-10-10,Abu Ghraib,0.10501,0.2102
2020-10-11,Abu Ghraib,0.02819,0.20783
2020-10-12,Abu Ghraib,0.09997,0.22719
2020-10-13,Abu Ghraib,0.10987,0.20454
2020-10-14,Abu Ghraib,0.1186,0.23378
2020-10-15,Abu Ghraib,0.11778,0.21035
2020-10-16,Abu Ghraib,-0.04891,0.24919
2020-10-17,Abu Ghraib,0.10205,0.22921
2020-10-18,Abu Ghraib,0.2279,0.21801
2020-10-19,Abu Ghraib,0.13229,0.20403
2020-10-20,Abu Ghraib,0.05444,0.21035
2020-10-21,Abu Ghraib,0.16216,0.20488
2020-10-22,Abu Ghraib,0.09009,0.20885
2020-10-23,Abu Ghraib,0.08494,0.22699
2020-10-24,Abu Ghraib,0.011,0.23444
2020-10-25,Abu Ghraib,0.06929,0.2163
2020-10-26,Abu Ghraib,0.13486,0.20603
2020-10-27,Abu Ghraib,-0.00677,0.22087
2020-10-28,Abu Ghraib,0.28934,0.21497
2020-10-29,Abu Ghraib,0.03693,0.19439
2020-10-30,Abu Ghraib,0.02347,0.22165
2020-10-31,Abu Ghraib,0.01137,0.24133
2020-11-01,Abu Ghraib,0.13372,0.20477
2020-11-02,Abu Ghraib,0.14171,0.19999
2020-11-03,Abu Ghraib,0.07419,0.18216
2020-11-04,Abu Ghraib,0.00098,0.20666
2020-11-05,Abu Ghraib,0.10717,0.19249
2020-11-06,Abu Ghraib,-0.06513,0.23793
2020-11-07,Abu Ghraib,0.04236,0.22165
2020-11-08,Abu Ghraib,0.13755,0.21944
2020-11-09,Abu Ghraib,0.09169,0.22247
2020-11-10,Abu Ghraib,-0.02958,0.21463
2020-11-11,Abu Ghraib,0.14264,0.20564
2020-11-12,Abu Ghraib,0.10797,0.21988
2020-11-13,Abu Ghraib,0.00915,0.22965
2020-11-14,Abu Ghraib,-0.00618,0.22212
2020-11-15,Abu Ghraib,0.20012,0.20001
2020-11-16,Abu Ghraib,0.12249,0.2123
2020-11-17,Abu Ghraib,0.08277,0.19683
2020-11-18,Abu Ghraib,0.23276,0.20155
2020-11-19,Abu Ghraib,0.15418,0.20318
2020-11-20,Abu Ghraib,0.09203,0.22193
2020-11-21,Abu Ghraib,-0.03012,0.24192
2020-11-22,Abu Ghraib,0.08603,0.19869
2020-11-23,Abu Ghraib,0.16759,0.17383
2020-11-24,Abu Ghraib,0.03703,0.20401
2020-11-25,Abu Ghraib,0.15123,0.19543
2020-11-26,Abu Ghraib,0.13147,0.18441
2020-11-27,Abu Ghraib,-0.02008,0.22423
2020-11-28,Abu Ghraib,-0.02309,0.21944
2020-11-29,Abu Ghraib,0.09178,0.19851
2020-11-30,Abu Ghraib,0.12403,0.19196
2020-12-01,Abu Ghraib,0.05276,0.18671
2020-12-02,Abu Ghraib,0.28998,0.17949
2020-12-03,Abu Ghraib,0.18554,0.21319
2020-12-04,Abu Ghraib,0.06013,0.23106
2020-12-05,Abu Ghraib,0.09516,0.18799
2020-12-06,Abu Ghraib,0.15522,0.16774
2020-12-07,Abu Ghraib,-0.00402,0.19255
2020-12-08,Abu Ghraib,0.09814,0.19192
2020-12-09,Abu Ghraib,0.18202,0.18201
2020-12-10,Abu Ghraib,-0.05798,0.23885
2020-12-11,Abu Ghraib,0.02923,0.24227
2020-12-12,Abu Ghraib,0.08117,0.20473
2020-12-13,Abu Ghraib,0.17794,0.20254
2020-03-01,Al Fallujah,0.04814,0.26005
2020-03-02,Al Fallujah,0.20372,0.24433
2020-03-03,Al Fallujah,0.18013,0.24345
2020-03-04,Al Fallujah,0.02456,0.2513
2020-03-05,Al Fallujah,0.0433,0.24276
2020-03-06,Al Fallujah,0.01656,0.24163
2020-03-07,Al Fallujah,0.06172,0.22999
2020-03-08,Al Fallujah,0.20788,0.23913
2020-03-09,Al Fallujah,0.17637,0.23016
2020-03-10,Al Fallujah,0.19352,0.23886
2020-03-11,Al Fallujah,0.06434,0.23359
2020-03-12,Al Fallujah,0.07223,0.23205
2020-03-13,Al Fallujah,-0.04411,0.26179
2020-03-14,Al Fallujah,-0.01307,0.27139
2020-03-15,Al Fallujah,0.12141,0.25671
2020-03-16,Al Fallujah,0.09252,0.24669
2020-03-17,Al Fallujah,0.10123,0.25179
2020-03-18,Al Fallujah,-0.39876,0.34592
2020-03-19,Al Fallujah,-0.42708,0.37638
2020-03-20,Al Fallujah,-0.41307,0.37594
2020-03-21,Al Fallujah,-0.45411,0.41555
2020-03-22,Al Fallujah,-0.36078,0.39074
2020-03-23,Al Fallujah,-0.3817,0.39226
2020-03-24,Al Fallujah,-0.33445,0.37348
2020-03-25,Al Fallujah,-0.4262,0.37596
2020-03-26,Al Fallujah,-0.43176,0.37581
2020-03-27,Al Fallujah,-0.39899,0.37069
2020-03-28,Al Fallujah,-0.39735,0.36493
2020-03-29,Al Fallujah,-0.32831,0.37066
2020-03-30,Al Fallujah,-0.33652,0.35989
2020-03-31,Al Fallujah,-0.28785,0.34531
2020-04-01,Al Fallujah,-0.40298,0.34886
2020-04-02,Al Fallujah,-0.3721,0.34284
2020-04-03,Al Fallujah,-0.32532,0.33908
2020-04-04,Al Fallujah,-0.46793,0.44318
2020-04-05,Al Fallujah,-0.28083,0.36147
2020-04-06,Al Fallujah,-0.29078,0.35143
2020-04-07,Al Fallujah,-0.28294,0.35796
2020-04-08,Al Fallujah,-0.39305,0.3502
2020-04-09,Al Fallujah,-0.38774,0.35161
2020-04-10,Al Fallujah,-0.39207,0.36288
2020-04-11,Al Fallujah,-0.33435,0.3493
2020-04-12,Al Fallujah,-0.24074,0.33813
2020-04-13,Al Fallujah,-0.27278,0.34066
2020-04-14,Al Fallujah,-0.25394,0.33715
2020-04-15,Al Fallujah,-0.31466,0.33057
2020-04-16,Al Fallujah,-0.30125,0.31439
2020-04-17,Al Fallujah,-0.31802,0.33103
2020-04-18,Al Fallujah,-0.18585,0.30052
2020-04-19,Al Fallujah,-0.1281,0.30645
2020-04-20,Al Fallujah,-0.1544,0.29192
2020-04-21,Al Fallujah,0.02416,0.26291
2020-04-22,Al Fallujah,-0.1101,0.26685
2020-04-23,Al Fallujah,-0.09045,0.26254
2020-04-24,Al Fallujah,-0.51174,0.43637
2020-04-25,Al Fallujah,-0.45938,0.395
2020-04-26,Al Fallujah,-0.04194,0.3101
2020-04-27,Al Fallujah,-0.10822,0.31005
2020-04-28,Al Fallujah,-0.08178,0.30217
2020-04-29,Al Fallujah,-0.1663,0.28004
2020-04-30,Al Fallujah,-0.21178,0.29734
2020-05-01,Al Fallujah,-0.44573,0.39377
2020-05-02,Al Fallujah,-0.42283,0.38319
2020-05-03,Al Fallujah,0.09513,0.28461
2020-05-04,Al Fallujah,-0.04597,0.29558
2020-05-05,Al Fallujah,-0.07072,0.29523
2020-05-06,Al Fallujah,-0.15236,0.30321
2020-05-07,Al Fallujah,-0.14037,0.29442
2020-05-08,Al Fallujah,-0.39954,0.37561
2020-05-09,Al Fallujah,-0.35623,0.35484
2020-05-10,Al Fallujah,0.14035,0.28506
2020-05-11,Al Fallujah,0.08593,0.2752
2020-05-12,Al Fallujah,0.10188,0.2785
2020-05-13,Al Fallujah,-0.07799,0.27709
2020-05-14,Al Fallujah,-0.08275,0.27475
2020-05-15,Al Fallujah,-0.36505,0.36223
2020-05-16,Al Fallujah,-0.31957,0.34858
2020-05-17,Al Fallujah,0.22836,0.2554
2020-05-18,Al Fallujah,0.13311,0.26197
2020-05-19,Al Fallujah,0.1242,0.26193
2020-05-20,Al Fallujah,-0.08255,0.27044
2020-05-21,Al Fallujah,0.04361,0.25351
2020-05-22,Al Fallujah,-0.28333,0.3282
2020-05-23,Al Fallujah,-0.27656,0.32372
2020-05-24,Al Fallujah,-0.0906,0.25162
2020-05-25,Al Fallujah,-0.11871,0.2683
2020-05-26,Al Fallujah,-0.11966,0.27799
2020-05-27,Al Fallujah,-0.25433,0.30519
2020-05-28,Al Fallujah,-0.24271,0.30624
2020-05-29,Al Fallujah,-0.26632,0.33716
2020-05-30,Al Fallujah,-0.16131,0.30766
2020-05-31,Al Fallujah,0.00016,0.29443
2020-06-01,Al Fallujah,0.01199,0.27442
2020-06-02,Al Fallujah,0.00039,0.27615
2020-06-03,Al Fallujah,-0.25074,0.31987
2020-06-04,Al Fallujah,-0.21188,0.29993
2020-06-05,Al Fallujah,-0.29716,0.3306
2020-06-06,Al Fallujah,-0.18179,0.30758
2020-06-07,Al Fallujah,0.04095,0.28653
2020-06-08,Al Fallujah,-0.0011,0.28546
2020-06-09,Al Fallujah,0.0215,0.27399
2020-06-10,Al Fallujah,-0.17439,0.29588
2020-06-11,Al Fallujah,-0.2113,0.30449
2020-06-12,Al Fallujah,-0.28946,0.32999
2020-06-13,Al Fallujah,-0.29997,0.33256
2020-06-14,Al Fallujah,-0.01016,0.29498
2020-06-15,Al Fallujah,-0.06139,0.30151
2020-06-16,Al Fallujah,0.02317,0.28012
2020-06-17,Al Fallujah,-0.10462,0.28945
2020-06-18,Al Fallujah,-0.31823,0.3307
2020-06-19,Al Fallujah,-0.36933,0.37334
2020-06-20,Al Fallujah,-0.26363,0.3326
2020-06-21,Al Fallujah,0.04761,0.29981
2020-06-22,Al Fallujah,-0.02093,0.29659
2020-06-23,Al Fallujah,-0.05077,0.31188
2020-06-24,Al Fallujah,-0.13424,0.29676
2020-06-25,Al Fallujah,-0.22857,0.31454
2020-06-26,Al Fallujah,-0.36502,0.35851
2020-06-27,Al Fallujah,-0.28589,0.338
2020-06-28,Al Fallujah,0.0409,0.28431
2020-06-29,Al Fallujah,-0.03919,0.28497
2020-06-30,Al Fallujah,-0.002,0.29828
2020-07-01,Al Fallujah,-0.11965,0.28761
2020-07-02,Al Fallujah,-0.23873,0.31731
2020-07-03,Al Fallujah,-0.34617,0.35418
2020-07-04,Al Fallujah,-0.21716,0.31539
2020-07-05,Al Fallujah,0.18576,0.27066
2020-07-06,Al Fallujah,0.12583,0.27174
2020-07-07,Al Fallujah,0.21978,0.2536
2020-07-08,Al Fallujah,0.07048,0.25431
2020-07-09,Al Fallujah,-0.1071,0.27489
2020-07-10,Al Fallujah,-0.29752,0.35012
2020-07-11,Al Fallujah,-0.19899,0.31708
2020-07-12,Al Fallujah,0.28246,0.2543
2020-07-13,Al Fallujah,0.16512,0.27719
2020-07-14,Al Fallujah,0.1233,0.27089
2020-07-15,Al Fallujah,0.04768,0.27114
2020-07-16,Al Fallujah,-0.06706,0.27612
2020-07-17,Al Fallujah,-0.32039,0.35405
2020-07-18,Al Fallujah,-0.18424,0.32675
2020-07-19,Al Fallujah,0.33107,0.25051
2020-07-20,Al Fallujah,0.23068,0.25892
2020-07-21,Al Fallujah,0.20408,0.25733
2020-07-22,Al Fallujah,0.06063,0.2681
2020-07-23,Al Fallujah,-0.21522,0.30493
2020-07-24,Al Fallujah,-0.3199,0.35309
2020-07-25,Al Fallujah,-0.18019,0.3265
2020-07-26,Al Fallujah,0.31681,0.26088
2020-07-27,Al Fallujah,0.1991,0.26293
2020-07-28,Al Fallujah,0.25065,0.24901
2020-07-29,Al Fallujah,0.20697,0.24025
2020-07-30,Al Fallujah,-0.08213,0.28027
2020-07-31,Al Fallujah,-0.19687,0.27889
2020-08-01,Al Fallujah,-0.1708,0.28086
2020-08-02,Al Fallujah,-0.064,0.28162
2020-08-03,Al Fallujah,-0.0941,0.29258
2020-08-04,Al Fallujah,-0.00718,0.28617
2020-08-05,Al Fallujah,-0.13976,0.30282
2020-08-06,Al Fallujah,-0.15623,0.2997
2020-08-07,Al Fallujah,-0.28863,0.33913
2020-08-08,Al Fallujah,-0.14028,0.30362
2020-08-09,Al Fallujah,0.31562,0.24765
2020-08-10,Al Fallujah,0.22699,0.25254
2020-08-11,Al Fallujah,0.29423,0.25093
2020-08-12,Al Fallujah,0.11864,0.25682
2020-08-13,Al Fallujah,-0.08686,0.28405
2020-08-14,Al Fallujah,-0.25094,0.32009
2020-08-15,Al Fallujah,-0.09642,0.2962
2020-08-16,Al Fallujah,0.36689,0.24353
2020-08-17,Al Fallujah,0.33369,0.24857
2020-08-18,Al Fallujah,0.30481,0.24924
2020-08-19,Al Fallujah,0.15121,0.25415
2020-08-20,Al Fallujah,0.00485,0.26306
2020-08-21,Al Fallujah,-0.07063,0.28466
2020-08-22,Al Fallujah,0.0946,0.25608
2020-08-23,Al Fallujah,0.37436,0.24965
2020-08-24,Al Fallujah,0.31186,0.24123
2020-08-25,Al Fallujah,0.38946,0.25253
2020-08-26,Al Fallujah,0.19652,0.24409
2020-08-27,Al Fallujah,0.15789,0.23786
2020-08-28,Al Fallujah,0.04594,0.25813
2020-08-29,Al Fallujah,0.11899,0.24697
2020-08-30,Al Fallujah,0.20867,0.25176
2020-08-31,Al Fallujah,0.32061,0.23397
2020-09-01,Al Fallujah,0.35457,0.23811
2020-09-02,Al Fallujah,0.14907,0.24598
2020-09-03,Al Fallujah,0.10872,0.232
2020-09-04,Al Fallujah,0.09602,0.25432
2020-09-05,Al Fallujah,0.18542,0.24458
2020-09-06,Al Fallujah,0.36995,0.25013
2020-09-07,Al Fallujah,0.34497,0.24315
2020-09-08,Al Fallujah,0.39737,0.2402
2020-09-09,Al Fallujah,0.15241,0.25612
2020-09-10,Al Fallujah,0.09975,0.2404
2020-09-11,Al Fallujah,0.08021,0.25254
2020-09-12,Al Fallujah,0.12946,0.22955
2020-09-13,Al Fallujah,0.35022,0.23588
2020-09-14,Al Fallujah,0.24113,0.23524
2020-09-15,Al Fallujah,0.29676,0.23631
2020-09-16,Al Fallujah,0.11877,0.24274
2020-09-17,Al Fallujah,0.06831,0.23922
2020-09-18,Al Fallujah,0.02439,0.25002
2020-09-19,Al Fallujah,0.09009,0.25196
2020-09-20,Al Fallujah,0.34492,0.245
2020-09-21,Al Fallujah,0.31656,0.23762
2020-09-22,Al Fallujah,0.28779,0.24964
2020-09-23,Al Fallujah,0.20388,0.23215
2020-09-24,Al Fallujah,0.10749,0.24502
2020-09-25,Al Fallujah,0.04931,0.25585
2020-09-26,Al Fallujah,0.16146,0.24744
2020-09-27,Al Fallujah,0.38139,0.24766
2020-09-28,Al Fallujah,0.32906,0.24823
2020-09-29,Al Fallujah,0.30252,0.2469
2020-09-30,Al Fallujah,0.18816,0.23758
2020-10-01,Al Fallujah,0.15708,0.24092
2020-10-02,Al Fallujah,0.12413,0.25942
2020-10-03,Al Fallujah,0.16789,0.24721
2020-10-04,Al Fallujah,0.41253,0.2341
2020-10-05,Al Fallujah,0.30359,0.23704
2020-10-06,Al Fallujah,0.35279,0.23513
2020-10-07,Al Fallujah,0.16844,0.23398
2020-10-08,Al Fallujah,0.09291,0.23866
2020-10-09,Al Fallujah,0.07445,0.25293
2020-10-10,Al Fallujah,0.15494,0.25083
2020-10-11,Al Fallujah,0.42793,0.23328
2020-10-12,Al Fallujah,0.37108,0.23474
2020-10-13,Al Fallujah,0.43216,0.23325
2020-10-14,Al Fallujah,0.27397,0.21672
2020-10-15,Al Fallujah,0.26812,0.21898
2020-10-16,Al Fallujah,0.11992,0.25361
2020-10-17,Al Fallujah,0.22513,0.23607
2020-10-18,Al Fallujah,0.43534,0.22247
2020-10-19,Al Fallujah,0.40871,0.22391
2020-10-20,Al Fallujah,0.38549,0.22923
2020-10-21,Al Fallujah,0.20151,0.22953
2020-10-22,Al Fallujah,0.19555,0.22892
2020-10-23,Al Fallujah,0.15621,0.24836
2020-10-24,Al Fallujah,0.20921,0.22579
2020-10-25,Al Fallujah,0.38419,0.22574
2020-10-26,Al Fallujah,0.37016,0.23085
2020-10-27,Al Fallujah,0.38133,0.21934
2020-10-28,Al Fallujah,0.23957,0.23499
2020-10-29,Al Fallujah,0.1398,0.22808
2020-10-30,Al Fallujah,0.14054,0.24022
2020-10-31,Al Fallujah,0.14117,0.24072
2020-11-01,Al Fallujah,0.42889,0.22963
2020-11-02,Al Fallujah,0.3708,0.23535
